Name,Event,League,Date
Lenny Anderson,Thankgiving 2000,Anderson Family Championship,11/30/2000
Lou Crooks,Thankgiving 2000,Anderson Family Championship,11/30/2000
Gerry Crooks,Thankgiving 2000,Anderson Family Championship,11/30/2000
Garfield Anderson,Thankgiving 2000,Anderson Family Championship,11/30/2000
Abigail Anderson,Thankgiving 2000,Anderson Family Championship,11/30/2000
Quincy Crooks,Thankgiving 2000,Anderson Family Championship,11/30/2000
Carli Crooks,Thankgiving 2000,Anderson Family Championship,11/30/2000
Cooper Beer,Thankgiving 2000,Anderson Family Championship,11/30/2000
Alexie Beer,Thankgiving 2000,Anderson Family Championship,11/30/2000
Annabelle Beer,Thankgiving 2000,Anderson Family Championship,11/30/2000
Lenny Anderson,Fourth of July 2000,Anderson Family Championship,7/4/2000
Lou Crooks,Fourth of July 2000,Anderson Family Championship,7/4/2000
Annabelle Beer,Fourth of July 2000,Anderson Family Championship,7/4/2000
Gerry Crooks,Fourth of July 2000,Anderson Family Championship,7/4/2000
Garfield Anderson,Fourth of July 2000,Anderson Family Championship,7/4/2000
Abigail Anderson,Fourth of July 2000,Anderson Family Championship,7/4/2000
Carli Crooks,Fourth of July 2000,Anderson Family Championship,7/4/2000
Cooper Beer,Fourth of July 2000,Anderson Family Championship,7/4/2000
Alexie Beer,Fourth of July 2000,Anderson Family Championship,7/4/2000
Quincy Crooks,Fourth of July 2000,Anderson Family Championship,7/4/2000
Lou Crooks,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Annabelle Beer,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Gerry Crooks,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Garfield Anderson,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Abigail Anderson,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Lenny Anderson,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Carli Crooks,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Cooper Beer,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Alexie Beer,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Quincy Crooks,New Year's Eve 2000,Anderson Family Championship,12/31/2000
Annabelle Beer,Labor Day 2000,Anderson Family Championship,9/3/2000
Carli Crooks,Labor Day 2000,Anderson Family Championship,9/3/2000
Gerry Crooks,Labor Day 2000,Anderson Family Championship,9/3/2000
Garfield Anderson,Labor Day 2000,Anderson Family Championship,9/3/2000
Abigail Anderson,Labor Day 2000,Anderson Family Championship,9/3/2000
Lou Crooks,Labor Day 2000,Anderson Family Championship,9/3/2000
Lenny Anderson,Labor Day 2000,Anderson Family Championship,9/3/2000
Cooper Beer,Labor Day 2000,Anderson Family Championship,9/3/2000
Alexie Beer,Labor Day 2000,Anderson Family Championship,9/3/2000
Quincy Crooks,Labor Day 2000,Anderson Family Championship,9/3/2000
Annabelle Beer,Halloween 2000,Anderson Family Championship,10/31/2000
Carli Crooks,Halloween 2000,Anderson Family Championship,10/31/2000
Gerry Crooks,Halloween 2000,Anderson Family Championship,10/31/2000
Lenny Anderson,Halloween 2000,Anderson Family Championship,10/31/2000
Garfield Anderson,Halloween 2000,Anderson Family Championship,10/31/2000
Abigail Anderson,Halloween 2000,Anderson Family Championship,10/31/2000
Lou Crooks,Halloween 2000,Anderson Family Championship,10/31/2000
Cooper Beer,Halloween 2000,Anderson Family Championship,10/31/2000
Alexie Beer,Halloween 2000,Anderson Family Championship,10/31/2000
Quincy Crooks,Halloween 2000,Anderson Family Championship,10/31/2000
Annabelle Beer,Thankgiving 2001,Anderson Family Championship,11/30/2001
Carli Crooks,Thankgiving 2001,Anderson Family Championship,11/30/2001
Gerry Crooks,Thankgiving 2001,Anderson Family Championship,11/30/2001
Lenny Anderson,Thankgiving 2001,Anderson Family Championship,11/30/2001
Garfield Anderson,Thankgiving 2001,Anderson Family Championship,11/30/2001
Abigail Anderson,Thankgiving 2001,Anderson Family Championship,11/30/2001
Lou Crooks,Thankgiving 2001,Anderson Family Championship,11/30/2001
Cooper Beer,Thankgiving 2001,Anderson Family Championship,11/30/2001
Alexie Beer,Thankgiving 2001,Anderson Family Championship,11/30/2001
Quincy Crooks,Thankgiving 2001,Anderson Family Championship,11/30/2001
Annabelle Beer,Fourth of July 2001,Anderson Family Championship,7/4/2001
Carli Crooks,Fourth of July 2001,Anderson Family Championship,7/4/2001
Gerry Crooks,Fourth of July 2001,Anderson Family Championship,7/4/2001
Lenny Anderson,Fourth of July 2001,Anderson Family Championship,7/4/2001
Garfield Anderson,Fourth of July 2001,Anderson Family Championship,7/4/2001
Abigail Anderson,Fourth of July 2001,Anderson Family Championship,7/4/2001
Alexie Beer,Fourth of July 2001,Anderson Family Championship,7/4/2001
Cooper Beer,Fourth of July 2001,Anderson Family Championship,7/4/2001
Quincy Crooks,Fourth of July 2001,Anderson Family Championship,7/4/2001
Lou Crooks,Fourth of July 2001,Anderson Family Championship,7/4/2001
Annabelle Beer,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Carli Crooks,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Gerry Crooks,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Lenny Anderson,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Garfield Anderson,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Alexie Beer,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Cooper Beer,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Quincy Crooks,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Abigail Anderson,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Lou Crooks,New Year's Eve 2001,Anderson Family Championship,12/31/2001
Carli Crooks,Labor Day 2001,Anderson Family Championship,9/3/2001
Gerry Crooks,Labor Day 2001,Anderson Family Championship,9/3/2001
Lenny Anderson,Labor Day 2001,Anderson Family Championship,9/3/2001
Garfield Anderson,Labor Day 2001,Anderson Family Championship,9/3/2001
